iter	Passed	Remaining
306	13514	426700
307	13562	426784
308	13612	426925
309	13657	426893
310	13702	426886
311	13737	426563
312	13779	426474
313	13824	426433
314	13869	426418
315	13914	426428
316	13959	426415
317	14003	426367
318	14048	426332
319	14107	426762
320	14149	426635
321	14188	426460
322	14230	426336
323	14275	426339
324	14331	426652
325	14377	426664
326	14421	426608
327	14469	426668
328	14513	426612
329	14557	426578
330	14603	426575
331	14649	426586
332	14694	426569
333	14712	425794
334	14796	426899
335	14849	427109
336	14895	427103
337	14941	427123
338	14985	427077
339	15031	427063
340	15072	426925
341	15115	426859
342	15158	426776
343	15202	426736
344	15248	426727
345	15271	426110
346	15311	425946
347	15356	425908
348	15399	425840
349	15445	425861
350	15495	425974
351	15542	426002
352	15586	425948
353	15632	425970
354	15676	425919
355	15721	425897
356	15766	425877
357	15812	425880
358	15857	425844
359	15898	425733
360	15948	425830
361	15994	425834
362	16039	425808
363	16084	425802
364	16128	425754
365	16173	425736
366	16217	425677
367	16261	425628
368	16296	425353
369	16341	425317
370	16384	425258
371	16428	425207
372	16471	425125
373	16511	424969
374	16555	424921
375	16614	425262
376	16660	425270
377	16699	425092
378	16743	425043
379	16786	424956
380	16830	424912
381	16874	424854
382	16917	424794
383	16965	424833
384	17009	424791
385	17052	424715
386	17095	424657
387	17141	424640
388	17187	424649
389	17234	424668
390	17278	424630
391	17322	424583
392	17367	424548
393	17412	424532
394	17457	424508
395	17502	424469
396	17545	424399
397	17588	424336
398	17634	424327
399	17681	424351
400	17726	424333
401	17771	424311
402	17812	424184
403	17855	424116
404	17901	424104
405	17947	424118
406	17993	424108
407	18036	424025
408	18078	423941
409	18123	423920
410	18168	423881
411	18211	423809
412	18255	423762
413	18301	423752
414	18346	423730
415	18389	423666
416	18436	423688
417	18481	423664
418	18525	423616
419	18571	423604
420	18616	423591
421	18662	423575
422	18707	423543
423	18752	423527
424	18808	423746
425	18860	423863
426	18904	423833
427	18952	423873
428	18998	423849
429	19043	423823
430	19083	423690
431	19126	423616
432	19170	423576
433	19214	423524
434	19258	423458
435	19302	423408
436	19347	423387
437	19391	423344
438	19436	423310
439	19480	423267
440	19527	423281
441	19581	423440
442	19634	423582
443	19682	423626
444	19736	423782
445	19784	423812
446	19832	423841
447	19876	423793
448	19925	423855
449	19983	424085
450	20030	424095
451	20075	424064
452	20120	424038
453	20164	423985
454	20211	424006
455	20255	423947
456	20302	423953
457	20353	424045
458	20402	424091
459	20458	424288
460	20510	424402
461	20568	424645
462	20621	424770
463	20669	424790
464	20715	424788
465	20764	424823
466	20813	424871
467	20860	424881
468	20907	424880
469	20953	424872
470	21005	424977
471	21080	425537
472	21136	425714
473	21188	425836
474	21245	426018
475	21299	426159
476	21392	427083
477	21450	427306
478	21506	427490
479	21560	427625
480	21611	427687
481	21662	427773
482	21713	427840
483	21766	427947
484	21816	427998
485	21867	428073
486	21918	428149
487	21973	428300
488	22020	428289
489	22070	428349
490	22119	428380
491	22188	428798
492	22239	428866
493	22293	428988
494	22346	429089
495	22399	429195
496	22453	429321
497	22499	429293
498	22548	429332
499	22597	429349
500	22648	429409
501	22699	429477
502	22752	429591
503	22813	429825
504	22872	430052
505	22931	430263
506	22982	430316
507	23038	430481
508	23095	430646
509	23152	430819
510	23211	431021
511	23273	431285
512	23342	431677
513	23404	431934
514	23460	432089
515	23513	432170
516	23570	432335
517	23623	432426
518	23672	432438
519	23719	432415
520	23768	432433
521	23814	432393
522	23858	432335
523	23905	432312
524	23950	432255
525	23999	432263
526	24047	432262
527	24096	432279
528	24156	432494
529	24206	432515
530	24258	432590
531	24303	432535
532	24350	432513
533	24392	432401
534	24444	432460
535	24494	432497
536	24554	432690
537	24605	432748
538	24651	432696
539	24702	432748
540	24756	432843
541	24808	432917
542	24858	432940
543	24914	433069
544	24979	433367
545	25098	434578
546	25225	435939
547	25290	436207
548	25350	436404
549	25403	436474
550	25463	436675
551	25526	436904
552	25584	437061
553	25640	437179
554	25693	437245
555	25746	437319
556	25804	437468
557	25858	437552
558	25908	437565
559	25970	437784
560	26021	437818
561	26066	437745
562	26116	437765
563	26167	437788
564	26215	437773
565	26263	437759
566	26357	438505
567	26409	438542
568	26454	438476
569	26503	438473
570	26561	438607
571	26609	438591
572	26655	438532
573	26703	438519
574	26753	438526
575	26804	438553
576	26848	438460
577	26896	438442
578	26959	438665
579	27016	438784
580	27064	438767
581	27109	438682
582	27157	438672
583	27201	438583
584	27250	438566
585	27294	438479
586	27341	438447
587	27386	438378
588	27433	438326
589	27478	438251
590	27523	438190
591	27566	438078
592	27613	438044
593	27659	437986
594	27703	437906
595	27750	437858
596	27806	437968
597	27852	437900
598	27897	437832
599	27944	437793
600	27991	437749
601	28037	437704
602	28079	437578
603	28123	437503
604	28169	437447
605	28216	437408
606	28265	437395
607	28311	437341
608	28360	437330
609	28407	437287
610	28453	437241
611	28509	437333
612	28553	437253
613	28597	437166
614	28645	437139
615	28690	437064
616	28733	436967
617	28776	436866
618	28819	436760
619	28866	436716
620	28910	436634
621	28954	436544
622	28999	436474
623	29046	436440
624	29091	436373
625	29132	436239
626	29178	436186
627	29224	436128
628	29265	436004
629	29309	435916
630	29356	435887
631	29396	435733
632	29441	435671
633	29488	435633
634	29533	435558
635	29578	435492
636	29625	435450
637	29670	435388
638	29714	435297
639	29761	435265
640	29806	435194
641	29849	435101
642	29892	435003
643	29939	434956
644	29986	434913
645	30040	434980
646	30088	434959
647	30134	434906
648	30180	434848
649	30225	434776
650	30283	434905
651	30327	434813
652	30372	434744
653	30418	434692
654	30463	434630
655	30508	434563
656	30553	434494
657	30595	434386
658	30639	434306
659	30691	434331
660	30742	434345
661	30794	434383
662	30846	434405
663	30892	434356
664	30941	434346
665	30990	434325
666	31036	434281
667	31082	434228
668	31131	434205
669	31175	434133
670	31220	434069
671	31267	434028
672	31313	433973
673	31358	433896
674	31404	433849
675	31449	433779
676	31495	433731
677	31540	433663
678	31587	433614
679	31635	433586
680	31681	433538
681	31726	433471
682	31773	433428
683	31817	433357
684	31864	433303
685	31908	433236
686	31953	433167
687	32002	433144
688	32047	433086
689	32094	433042
690	32152	433151
691	32197	433088
692	32242	433018
693	32289	432975
694	32336	432930
695	32382	432886
696	32430	432861
697	32478	432833
698	32523	432769
699	32568	432697
700	32616	432662
701	32661	432603
702	32711	432600
703	32759	432571
