iter	Logloss
0	0.660867409
1	0.6325595543
2	0.606421647
3	0.5820619031
4	0.5577148852
5	0.5371230563
6	0.5174203574
7	0.4995798311
8	0.4816320296
9	0.4664993215
10	0.4524073336
11	0.4393726978
12	0.4262390931
13	0.4152286788
14	0.404986344
15	0.3945571183
16	0.3847830266
17	0.3757893738
18	0.366961716
19	0.3599593928
20	0.352587571
21	0.3454492962
22	0.3387536501
23	0.3334849677
24	0.3278895258
25	0.3228527105
26	0.3188104255
27	0.3147140647
28	0.311226113
29	0.3070091873
30	0.3028887109
31	0.298824176
32	0.2961076026
33	0.2928132313
34	0.2898151745
35	0.2867647696
36	0.2841664319
37	0.2817106154
38	0.279415873
39	0.2771512378
40	0.2749930864
41	0.2731198411
42	0.2711729721
43	0.2691829814
44	0.267904955
45	0.2660444215
46	0.2645048086
47	0.2631450165
48	0.2615608631
49	0.2601734788
50	0.2590765038
51	0.2583442132
52	0.2570128945
53	0.2559934772
54	0.2546309402
55	0.2539398621
56	0.2530461766
57	0.2523964325
58	0.251541465
59	0.2506794038
60	0.2497909092
61	0.249158288
62	0.2485221069
63	0.2475569364
64	0.246763031
65	0.2460514015
66	0.2455923808
67	0.2449752338
68	0.2444989421
69	0.2438617447
70	0.2431715495
71	0.2425900455
72	0.2424726952
73	0.2417739888
74	0.2416721755
75	0.2412238472
76	0.2406905523
77	0.2403531331
78	0.2401768955
79	0.2398606127
80	0.2393417217
81	0.2388117376
82	0.2382802416
83	0.2378625737
84	0.2376636243
85	0.2371035839
86	0.2367470023
87	0.236347685
88	0.2359200771
89	0.2354774549
90	0.2349469364
91	0.2344083405
92	0.2340963796
93	0.233630674
94	0.2332330387
95	0.2330513276
96	0.2328918463
97	0.2326291108
98	0.2321400369
99	0.2316161818
100	0.2310336673
101	0.2305118759
102	0.2303946423
103	0.2297846887
104	0.2294003577
105	0.2292750505
106	0.2288536338
107	0.2284024073
108	0.2280799922
109	0.2278960924
110	0.2276139078
111	0.2271879151
112	0.2267818119
113	0.2262838482
114	0.2260734172
115	0.2257281458
116	0.2254579235
117	0.2252139178
118	0.2249372243
119	0.2247067439
120	0.2243874413
121	0.2243132974
122	0.2241026787
123	0.2238412107
124	0.2235694907
125	0.2234196606
126	0.2232231277
127	0.2231169598
128	0.2230328015
